,,,,,,,
Threads,Thread Aff.,OMP_Places,Schedule,Time (t),Gflops,SpeedUp,Efficiency
1,FALSE,Cores,Static,14.114686,0.291142,1.0000,100.00%
2,FALSE,Cores,Static,10.247285,0.401021,1.3774,68.87%
4,FALSE,Cores,Static,9.04601,0.454275,1.5603,39.01%
8,FALSE,Cores,Static,6.300012,0.652281,2.2404,28.01%
10,FALSE,Cores,Static,5.241007,0.784082,2.6931,26.93%
16,FALSE,Cores,Static,3.649421,1.126035,3.8677,24.17%
20,FALSE,Cores,Static,3.0236,1.3591,4.6682,23.34%
32,FALSE,Cores,Static,1.945535,2.112209,7.2549,22.67%
40,FALSE,Cores,Static,1.693937,2.425932,8.3325,20.83%
,,,,,,,
Threads,Thread Aff.,OMP_Places,Schedule,Time (t),Gflops,SpeedUp,Efficiency
1,FALSE,Cores,Dynamic,14.113365,0.291169,1.000,100.00%
2,FALSE,Cores,Dynamic,7.067139,0.581477,1.997,99.85%
4,FALSE,Cores,Dynamic,3.550835,1.157299,3.975,99.37%
8,FALSE,Cores,Dynamic,1.962218,2.09425,7.193,89.91%
10,FALSE,Cores,Dynamic,1.627632,2.524758,8.671,86.71%
16,FALSE,Cores,Dynamic,1.01772,4.037827,13.868,86.67%
20,FALSE,Cores,Dynamic,0.814121,5.047626,17.336,86.68%
32,FALSE,Cores,Dynamic,0.545165,7.537865,25.888,80.90%
40,FALSE,Cores,Dynamic,0.446631,9.200837,31.600,79.00%
